"cic_id","i94_year","i94_month","i94_city_cd","city_name","i94_state_cd","arr_date","dep_date","ins_num","male_pop","female_pop","total_pop","avg_temperature","median_age","avg_hh_size"
"2013603.0","2016.0","4.0","DAL","Dallas","TX","2016-04-11","2016-04-25",,"639019","661063","1300082","68.81139999999999","32.6","2.59"
"3697368.0","2016.0","4.0","NYC","New York","NC","2016-04-20","2016-07-20",,,,,,,
"2557045.0","2016.0","4.0","FTL","Fort Lauderdale","CA","2016-04-14","2016-07-28",,,,,,,
"3098965.0","2016.0","4.0","MIA","Miami",,"2016-04-17","2016-04-21",,,,,,,
"1776348.0","2016.0","4.0","DAL","Dallas","TX","2016-04-10","2016-04-15",,"639019","661063","1300082","68.81139999999999","32.6","2.59"
"4507487.0","2016.0","4.0","ORL","Orlando","FL","2016-04-24","2016-05-08",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"2147566.0","2016.0","4.0","MIA","Miami","FL","2016-04-11","2016-04-18",,"215840","225149","440989","75.9922","40.4","2.5"
"3425763.0","2016.0","4.0","HOU","Houston","TX","2016-04-18","2016-06-14",,"1149686","1148942","2298628","72.1044","32.6","2.66"
"1046737.0","2016.0","4.0","PBB","Peace Bridge","CA","2016-04-06","2016-04-15",,,,,,,
"3652687.0","2016.0","4.0","FTL","Fort Lauderdale","FL","2016-04-20","2016-04-24",,"93948","84639","178587","75.9922","42.8","2.38"
"3888676.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-21","2016-05-08",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"2756515.0","2016.0","4.0","SUM","Sumas","CA","2016-04-15","2016-04-28",,,,,,,
"4913292.0","2016.0","4.0","WAS","Washington","VA","2016-04-26","2016-05-06",,,,,,,
"3076465.0","2016.0","4.0","NYC","New York","CT","2016-04-16","2016-09-18",,,,,,,
"561992.0","2016.0","4.0","CHI","Chicago","IL","2016-04-03",,,"1320015","1400541","2720556","52.8564","34.2","2.53"
"5133973.0","2016.0","4.0","WAS","Washington","VA","2016-04-27","2016-05-24",,,,,,,
"4243068.0","2016.0","4.0","HOU","Houston","NY","2016-04-22","2016-04-26",,,,,,,
"2906098.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-16","2016-05-03",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"594975.0","2016.0","4.0","LVG","Las Vegas","AZ","2016-04-03","2016-07-10",,,,,,,
"4616564.0","2016.0","4.0","HOU","Houston","FL","2016-04-24","2016-05-01",,,,,,,
"3136802.0","2016.0","4.0","SFR","San Francisco","WA","2016-04-17","2016-05-26",,,,,,,
"5514177.0","2016.0","4.0","HOU","Houston","TX","2016-04-29",,,"1149686","1148942","2298628","72.1044","32.6","2.66"
"1034637.0","2016.0","4.0","NYC","New York",,"2016-04-06","2016-04-12",,,,,,,
"467207.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-03","2016-04-06",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"2053904.0","2016.0","4.0","LOS","Los Angeles","NY","2016-04-11","2016-04-25",,,,,,,
"1351033.0","2016.0","4.0","FMY","Fort Myers","NY","2016-04-08","2016-04-18",,,,,,,
"2887088.0","2016.0","4.0","MIA","Miami","FL","2016-04-16","2016-04-24",,"215840","225149","440989","75.9922","40.4","2.5"
"5278774.0","2016.0","4.0","SEA","Seattle","NY","2016-04-28","2016-05-08",,,,,,,
"3106819.0","2016.0","4.0","SFR","San Francisco","CA","2016-04-17","2016-04-22",,"439752","425064","864816","61.2206","38.3","2.37"
"5056736.0","2016.0","4.0","PHI","Philadelphia","HI","2016-04-27","2016-05-01",,,,,,,
"879820.0","2016.0","4.0","ATL","Atlanta","FL","2016-04-05","2016-04-17",,,,,,,
"4853913.0","2016.0","4.0","MIA","Miami",,"2016-04-26","2016-04-29",,,,,,,
"864073.0","2016.0","4.0","SFR","San Francisco","CA","2016-04-05","2016-04-09",,"439752","425064","864816","61.2206","38.3","2.37"
"1624057.0","2016.0","4.0","CHI","Chicago","CA","2016-04-09",,,,,,,,
"261165.0","2016.0","4.0","PHO","Phoenix","FL","2016-04-02","2016-04-09",,,,,,,
"4168875.0","2016.0","4.0","ATL","Atlanta","FL","2016-04-22","2016-04-29",,,,,,,
"5136021.0","2016.0","4.0","MIA","Miami","FL","2016-04-27","2016-05-25",,"215840","225149","440989","75.9922","40.4","2.5"
"5252446.0","2016.0","4.0","NYC","New York","NY","2016-04-28","2016-05-04",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"1860945.0","2016.0","4.0","WAS","Washington","VA","2016-04-10","2016-05-31",,,,,,,
"685207.0","2016.0","4.0","LOS","Los Angeles","FL","2016-04-04","2016-04-10",,,,,,,
"2683469.0","2016.0","4.0","LVG","Las Vegas","NV","2016-04-15","2016-04-22",,"310568","313201","623769","68.9684","37.5","2.79"
"5960799.0","2016.0","4.0","SAI","Saipan",,"2016-04-01","2016-04-06","3882",,,,,,
"2825582.0","2016.0","4.0","MIA","Miami","FL","2016-04-15","2016-04-21",,"215840","225149","440989","75.9922","40.4","2.5"
"2892590.0","2016.0","4.0","WAS","Washington","MD","2016-04-16",,,,,,,,
"1848870.0","2016.0","4.0","NEW","Newark/Teterboro","NY","2016-04-10","2016-05-09",,,,,,,
"2913751.0","2016.0","4.0","CLT","Charlotte","FL","2016-04-16","2016-04-23",,,,,,,
"5418335.0","2016.0","4.0","CHI","Chicago","NV","2016-04-29","2016-05-09",,,,,,,
"5248600.0","2016.0","4.0","CHI","Chicago","IL","2016-04-28","2016-05-13",,"1320015","1400541","2720556","52.8564","34.2","2.53"
"3291050.0","2016.0","4.0","CHI","Chicago","NY","2016-04-17","2016-04-20",,,,,,,
"2209111.0","2016.0","4.0","SFR","San Francisco","MA","2016-04-12","2016-07-26",,,,,,,
"5029772.0","2016.0","4.0","NYC","New York","NE","2016-04-27","2016-05-13",,,,,,,
"3656427.0","2016.0","4.0","NYC","New York","NY","2016-04-20","2016-04-21",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"5956950.0","2016.0","4.0","AGA","Agana","GU","2016-04-14",,,,,,,,
"1921440.0","2016.0","4.0","MIA","Miami",,"2016-04-10","2016-04-15",,,,,,,
"823410.0","2016.0","4.0","ORL","Orlando","FL","2016-04-05","2016-04-22",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"5698234.0","2016.0","4.0","NYC","New York","OH","2016-04-30","2016-05-09",,,,,,,
"4098212.0","2016.0","4.0","SFR","San Francisco","CA","2016-04-22","2016-04-26",,"439752","425064","864816","61.2206","38.3","2.37"
"4893326.0","2016.0","4.0","PSP","Palm Springs",,"2016-04-26","2016-04-27",,,,,,,
"1379698.0","2016.0","4.0","ORL","Orlando","FL","2016-04-08","2016-04-22",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"714371.0","2016.0","4.0","MIA","Miami",,"2016-04-04","2016-04-08",,,,,,,
"5246711.0","2016.0","4.0","NYC","New York","NY","2016-04-28","2016-05-08",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"5250285.0","2016.0","4.0","DAL","Dallas","TX","2016-04-28","2016-05-14",,"639019","661063","1300082","68.81139999999999","32.6","2.59"
"2572618.0","2016.0","4.0","MIA","Miami","FL","2016-04-14","2016-04-18",,"215840","225149","440989","75.9922","40.4","2.5"
"1975402.0","2016.0","4.0","DET","Detroit","FL","2016-04-11","2016-06-21",,,,,,,
"4051263.0","2016.0","4.0","MIA","Miami","FL","2016-04-22","2016-05-08",,"215840","225149","440989","75.9922","40.4","2.5"
"229043.0","2016.0","4.0","LOS","Los Angeles","NV","2016-04-02","2016-04-16",,,,,,,
"867234.0","2016.0","4.0","LOS","Los Angeles","CA","2016-04-05","2016-04-14",,"1958998","2012898","3971896","64.6172","35.0","2.86"
"4525494.0","2016.0","4.0","HOU","Houston","TN","2016-04-24","2016-04-30",,,,,,,
"4877171.0","2016.0","4.0","ORL","Orlando","FL","2016-04-26","2016-05-10",,"130940","139977","270917","74.78739999999999","33.1","2.42"
"1044320.0","2016.0","4.0","NYC","New York","MI","2016-04-06",,,,,,,,
"4038162.0","2016.0","4.0","NYC","New York","NY","2016-04-22","2016-04-26",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"2658696.0","2016.0","4.0","NYC","New York","NY","2016-04-14","2016-04-18",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
"4494327.0","2016.0","4.0","NYC","New York","NY","2016-04-24","2016-05-01",,"4081698","4468707","8550405","53.894999999999996","36.0","2.68"
